date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:37	69612/69612	---M--	200	added ('OK')	image/png	etag:%2210fec-615f6cb1b9f71%22	https://shreethemes.in/landrick/landing/assets/images/digital/3.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/digital/3.png	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
17:54:37	150192/150192	---M--	200	added ('OK')	image/png	etag:%2224ab0-615f6cb1b9f71%22	https://shreethemes.in/landrick/landing/assets/images/digital/2.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/digital/2.png	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
17:54:38	6370/6370	---M--	200	added ('OK')	image/svg+xml	etag:%2218e2-615f6cb1e1074%22	https://shreethemes.in/landrick/landing/assets/images/illustrator/app.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/illustrator/app.svg	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
17:54:40	104560/104560	---M--	200	added ('OK')	image/png	etag:%2219870-615f6cb1bce51%22	https://shreethemes.in/landrick/landing/assets/images/digital/testi.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/digital/testi.png	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
17:54:40	10029/10029	---M--	200	added ('OK')	image/svg+xml	etag:%22272d-615f6cb1e2015%22	https://shreethemes.in/landrick/landing/assets/images/illustrator/user_interface.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/illustrator/user_interface.svg	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
17:54:41	4449/4449	---M--	200	added ('OK')	image/svg+xml	etag:%221161-615f6cb1de194%22	https://shreethemes.in/landrick/landing/assets/images/icon/chat.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/icon/chat.svg	(from https://shreethemes.in/landrick/landing/index-customer.html)
17:54:42	6114/6114	---M--	200	added ('OK')	image/svg+xml	etag:%2217e2-615f6cb1df134%22	https://shreethemes.in/landrick/landing/assets/images/icon/customer-service.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/icon/customer-service.svg	(from https://shreethemes.in/landrick/landing/index-customer.html)
17:54:43	5025/5025	---M--	200	added ('OK')	image/svg+xml	etag:%2213a1-615f6cb1e00d4%22	https://shreethemes.in/landrick/landing/assets/images/icon/user.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/icon/user.svg	(from https://shreethemes.in/landrick/landing/index-customer.html)
17:54:44	2534/2534	---M--	200	added ('OK')	image/svg+xml	etag:%229e6-615f6cb1de194%22	https://shreethemes.in/landrick/landing/assets/images/icon/call.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/icon/call.svg	(from https://shreethemes.in/landrick/landing/index-customer.html)
17:54:45	2801/2801	---M--	200	added ('OK')	image/svg+xml	etag:%22af1-615f6cb1e00d4%22	https://shreethemes.in/landrick/landing/assets/images/icon/writing.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/icon/writing.svg	(from https://shreethemes.in/landrick/landing/index-customer.html)
